 Variable name , Variable, Explanation
destination, No Urgent Place/ Home/ Work,driver destination
passanger, Alone/ Friend(s)/ Kid(s)/ Partner (who are the passengers in the car),passenger type
weather, Sunny/ Rainy/ Snowy,weather description
temperature,55/ 80/ 30,temperature when coupon was offered
time, 2PM/ 10AM/ 6PM/ 7AM/ 10PM,time coupon was offer
coupon, Restaurant(<$20)/ Coffee House/ Carry out & Take away/ Bar/ Restaurant($20-$50),coupon type
expiration, 1d/ 2h ,the coupon expires in 1 day or in 2 hours
gender, Female/ Male,Gender of driver
age, 21/ 46/ 26/ 31/ 41/ 50plus/ 36/ below21,age of driver
maritalStatus, Unmarried partner/ Single/ Married partner/ Divorced/ Widowed,Marital Status of driver
has_Children,0/1,Whether driver has children or not
education, Some college - no degree/ Bachelors degree/ Associates degree/ High School Graduate/ Graduate degree (Masters or Doctorate)/ Some High School, education level of driver
occupation, Unemployed/ Architecture & Engineering/ Student/Education&Training&Library/ Healthcare Support/Healthcare Practitioners & Technical/ Sales & Related/ Management/Arts Design Entertainment Sports & Media/ Computer & Mathematical/Life Physical Social Science/ Personal Care & Service/Community & Social Services/ Office & Administrative Support/Construction & Extraction/ Legal/ Retired/Installation Maintenance & Repair/ Transportation & Material Moving/Business & Financial/ Protective Service/Food Preparation & Serving Related/ Production Occupations/Building & Grounds Cleaning & Maintenance/ Farming Fishing & Forestry,Occupation type of driver
income, $37500 - $49999/ $62500 - $74999/ $12500 - $24999/ $75000 - $87499/ $50000 - $62499/ $25000 - $37499/ $100000 or More/ $87500 - $99999/ Less than $12500,income of driver
Bar, never/ less1/ 1~3/ gt8/ nan4~8 , how many times do you go to a bar every month?
CoffeeHouse, never/ less1/ 4~8/ 1~3/ gt8/ nan , how many times do you go to a coffeehouse every month?
CarryAway,n4~8/ 1~3/ gt8/ less1/ never , how many times do you get take-away food every month?)
RestaurantLessThan20, 4~8/ 1~3/ less1/ gt8/ never , how many times do you go to a restaurant with an average expense per person of less than $20 every month?
Restaurant20To50, 1~3/ less1/ never/ gt8/ 4~8/ nan , how many times do you go to a restaurant with average expense per person of $20 - $50 every month?
toCoupon_GEQ5min,0/1,driving distance to the restaurant/bar for using the coupon is greater than 5 minutes
toCoupon_GEQ15min,0/1 , driving distance to the restaurant/bar for using the coupon is greater than 15 minutes
toCoupon_GEQ25min,0/1 , driving distance to the restaurant/bar for using the coupon is greater than 25 minutes
direction_same,0/1 , whether the restaurant/bar is in the same direction as your current destination
direction_opp,0/1, whether the restaurant/bar is in the same direction as your current destination
Y,0/1,whether the coupon is accepted